
7/27/2018,Cash,0.66,7/19/2018,7/30/2018,8/9/2018,
4/27/2018,Cash,0.655,4/19/2018,4/30/2018,5/10/2018,
2/2/2018,Cash,0.65,--,--,--,
11/3/2017,Cash,0.645,--,--,--,
8/3/2017,Cash,0.632,7/28/2017,8/7/2017,8/14/2017,
5/4/2017,Cash,0.62,5/2/2017,5/8/2017,5/15/2017,
2/2/2017,Cash,0.608,1/27/2017,2/6/2017,2/14/2017,
10/27/2016,Cash,0.595,10/24/2016,10/31/2016,11/10/2016,
7/28/2016,Cash,0.585,7/25/2016,8/1/2016,8/12/2016,
4/28/2016,Cash,0.575,4/25/2016,5/2/2016,5/13/2016,
1/29/2016,Cash,0.565,1/25/2016,2/2/2016,2/12/2016,
10/29/2015,Cash,0.555,10/23/2015,11/2/2015,11/13/2015,
7/30/2015,Cash,0.545,7/24/2015,8/3/2015,8/14/2015,
5/4/2015,Cash,0.538,4/24/2015,5/6/2015,5/15/2015,
1/29/2015,Cash,0.53,3/6/2015,2/2/2015,2/13/2015,
10/31/2014,Cash,0.522,10/27/2014,11/4/2014,11/14/2014,
7/31/2014,Cash,0.515,7/25/2014,8/4/2014,8/14/2014,
5/1/2014,Cash,0.507,4/25/2014,5/5/2014,5/15/2014,
1/31/2014,Cash,0.5,1/24/2014,2/4/2014,2/14/2014,
10/31/2013,Cash,0.493,10/28/2013,11/4/2013,11/14/2013,
8/1/2013,Cash,0.485,7/29/2013,8/5/2013,8/14/2013,
